StudentNo,100136499
System,basic
QueryNo,Rank,URL
2,0.014859270463893393,portal.uea.ac.uk/web/hub/library/cd-music-library
2,0.014771826315612514,portal.uea.ac.uk/library/access/visitors
2,0.014771826315612514,portal.uea.ac.uk/web/hub/library/access/visitors
2,0.014653307935324263,portal.uea.ac.uk/web/hub/library/borrowing/sconul-access
2,0.014653307935324263,portal.uea.ac.uk/library/borrowing/sconul-access
2,0.01456814897099657,portal.uea.ac.uk/rin/open-access-and-research-data/what-is-open-access-/benefits-for-uk
2,0.01456814897099657,portal.uea.ac.uk/en/rin/open-access-and-research-data/what-is-open-access-/benefits-for-uk
2,0.014525874896601964,portal.uea.ac.uk/web/hub/library/access/sconul
2,0.014525874896601964,portal.uea.ac.uk/library/access/sconul
2,0.014525854334851568,portal.uea.ac.uk/library/access/associate-colleges/ccn-and-easton-otley
2,0.01450490085679543,portal.uea.ac.uk/rin/open-access-and-research-data/what-is-open-access-/different-types-of-content
2,0.01450490085679543,portal.uea.ac.uk/en/rin/open-access-and-research-data/what-is-open-access-/different-types-of-content
2,0.01442550539710181,portal.uea.ac.uk/library/access/external-borrowers
2,0.01442550539710181,portal.uea.ac.uk/web/hub/library/access/external-borrowers
2,0.01414519549352696,portal.uea.ac.uk/estates/access-and-security/staff-access
2,0.01414519549352696,portal.uea.ac.uk/en/estates/access-and-security/staff-access
2,0.01398916423122223,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/library-regulations-and-policies
2,0.01398916423122223,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/library-regulations-and-policies
2,0.013871039190688154,portal.uea.ac.uk/library/disabilities/finding-and-borrowing-library-materials
2,0.013665337448696031,portal.uea.ac.uk/library/contact-us
2,0.013592700049507314,portal.uea.ac.uk/itservices/corporate-systems/teaching-and-learning/library-management-system
2,0.013486397672678226,portal.uea.ac.uk/library
2,0.013486397672678226,portal.uea.ac.uk/en/library
2,0.013486397672678226,portal.uea.ac.uk/library/
2,0.013317439279897498,portal.uea.ac.uk/web/hub/library/helpdesk
2,0.013317439279897498,portal.uea.ac.uk/library/helpdesk
2,0.013231524462331102,portal.uea.ac.uk/itservices/corporate-systems/administrative/access-control
2,0.013212784606313198,portal.uea.ac.uk/web/hub/library/research-support
2,0.013212784606313198,portal.uea.ac.uk/library/research-support
2,0.013116860687935855,portal.uea.ac.uk/csed/resources/library-links
2,0.013023162404623884,portal.uea.ac.uk/library/study-space/lockers
2,0.012813262768348405,portal.uea.ac.uk/library/research-reserve
2,0.012813262768348405,portal.uea.ac.uk/Library/research-reserve
2,0.012797965570806282,portal.uea.ac.uk/library/news
2,0.0127384984036897,portal.uea.ac.uk/ren/open-access-and-research-data
2,0.0127384984036897,portal.uea.ac.uk/rin/open-access-and-research-data
2,0.0127384984036897,portal.uea.ac.uk/library/research-support/open-access
2,0.0127384984036897,portal.uea.ac.uk/en/rin/open-access-and-research-data
2,0.0127367160920494,portal.uea.ac.uk/web/hub/library/health-sciences-kl
2,0.0127367160920494,portal.uea.ac.uk/library/health-sciences-kl
2,0.012415666890992756,portal.uea.ac.uk/library/borrowing
2,0.012415666890992756,portal.uea.ac.uk/web/hub/library/borrowing
2,0.01240790773185584,portal.uea.ac.uk/library/news/-/asset_publisher/PFyiDU0daRt0/blog/new-online-reading-lists-for-students
2,0.012359588351328377,portal.uea.ac.uk/itservices/help/new-it-accounts
2,0.012300987640585313,portal.uea.ac.uk/library/opening/staffed
2,0.012300987640585313,portal.uea.ac.uk/web/hub/library/opening/staffed
2,0.012204353988064203,portal.uea.ac.uk/library/resources
2,0.012075689386817611,portal.uea.ac.uk/library/key-performance-indicators
2,0.012075689386817611,portal.uea.ac.uk/en/library/key-performance-indicators
2,0.012069882479502178,portal.uea.ac.uk/library/borrowing/accounts
2,0.012069882479502178,portal.uea.ac.uk/web/hub/library/borrowing/accounts
