Query,Rank,AveragePosition,URL
5,2,3,portal.uea.ac.uk/en/prizesandscholarships/sci/bio
,,,
5,3,3,portal.uea.ac.uk/prizesandscholarships/sci/bio
,,,
5,4,3.428571429,portal.uea.ac.uk/web/about/our-university/executive
,,,
5,5,3.6,portal.uea.ac.uk/csed/learning-and-teaching1/learning-and-teaching-days/learning-and-teaching-day-2016
,,,
5,6,3.818181818,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/governance-committee/membership
,,,
5,7,4,portal.uea.ac.uk/committee-office/uea-committees-and-boards/governance-committee/membership
,,,
5,8,4.166666667,portal.uea.ac.uk/uea-retirement-association/contact-us
,,,
5,9,4.333333333,portal.uea.ac.uk/resnet/past-events/2012
,,,
5,10,4.833333333,portal.uea.ac.uk/en/uea-retirement-association/contact-us
,,,
5,11,5,portal.uea.ac.uk/csed/learning-and-teaching1/learning-and-teaching-days/learning-and-teaching-day-2017
,,,
5,12,5.5,portal.uea.ac.uk/csed/learning-and-teaching-day
,,,
5,13,6,
,,,
5,14,6.066666667,portal.uea.ac.uk/committee-office/uea-committees-and-boards/council/council-membership
,,,
5,15,6.333333333,portal.uea.ac.uk/estates/space-management
,,,
5,16,6.5,portal.uea.ac.uk/committee-office/uea-committees-and-boards/widening-participation-committee/widening-participation-committee-membership
,,,
5,17,6.6,portal.uea.ac.uk/en/prizesandscholarships/sci/che
,,,
5,18,6.75,portal.uea.ac.uk/en/resnet/past-events/2012
,,,
5,19,7,portal.uea.ac.uk/committee-office/uea-committees-and-boards/information-strategy-and-services-committee/information-strategy-and-services-committee-membership
,,,
5,20,7,portal.uea.ac.uk/en/prizesandscholarships/sci/mth
,,,
5,21,7.636363636,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/widening-participation-committee/widening-participation-committee-membership
,,,
5,22,7.857142857,portal.uea.ac.uk/committee-office/uea-committees-and-boards/student-experience-committee/student-experience-committee-membership
,,,
5,23,7.909090909,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/council/council-membership
,,,
5,24,9.666666667,portal.uea.ac.uk/committee-office/uea-committees-and-boards/senate/senate-membership
,,,
6,1,2.833333333,portal.uea.ac.uk/en/rin/research-integrity/research-ethics/legislation
,,,
6,2,3.214285714,portal.uea.ac.uk/equality/legislation/equality-act-2010
,,,
6,3,3.428571429,portal.uea.ac.uk/en/equality/legislation/equality-act-2010
,,,
6,4,3.9,portal.uea.ac.uk/rin/research-integrity/research-ethics/legislation
,,,
6,5,4.333333333,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/staff-faqs
,,,
6,6,4.333333333,portal.uea.ac.uk/en/equality/legislation
,,,
6,7,4.428571429,portal.uea.ac.uk/procurement/sustainable-procurement/modern-slavery-procurement/purchasing-consortia
,,,
6,8,4.6,portal.uea.ac.uk/en/procurement/sustainable-procurement/modern-slavery-procurement/purchasing-consortia
,,,
6,9,4.666666667,portal.uea.ac.uk/procurement/news/-/asset_publisher/hAjzpAtGibxQ/blog/modern-slavery-act
,,,
6,10,4.833333333,portal.uea.ac.uk/equality/policies-schemes-and-action-plans
,,,
6,11,5,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/staff-faqs
,,,
6,12,5,portal.uea.ac.uk/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2010-2011
,,,
6,13,5.333333333,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information
,,,
6,14,5.5,portal.uea.ac.uk/en/equality/policies-schemes-and-action-plans
,,,
6,15,5.875,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information
,,,
6,16,5.888888889,portal.uea.ac.uk/equality/legislation
,,,
6,17,6,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2010-2011
,,,
6,18,6.166666667,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/it-regulations-and-policies/external-legislation
,,,
6,19,6.666666667,portal.uea.ac.uk/rin/commercialise-your-idea/intellectual-property/regulations
,,,
6,20,6.666666667,portal.uea.ac.uk/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2009-2010
,,,
6,21,6.8,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/it-regulations-and-policies/external-legislation
,,,
6,22,7,portal.uea.ac.uk/equality/training1
,,,
6,23,7,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/data-protection-act-general-faqs
,,,
6,24,7,portal.uea.ac.uk/en/equality/legislation/equality-analysis
,,,
6,25,7,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes
,,,
6,26,7.333333333,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/dpa-faqs-for-students
,,,
6,27,7.666666667,portal.uea.ac.uk/equality/aspects-of-equality
,,,
6,28,7.666666667,portal.uea.ac.uk/equality/policies-schemes-and-action-plans/equality-information-and-ref2014
,,,
6,29,7.666666667,portal.uea.ac.uk/en/human-resources
,,,
6,30,8,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2009-2010
,,,
6,31,8,portal.uea.ac.uk/en/equality/aspects-of-equality
,,,
6,32,8,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/data-protection-act-general-faqs
,,,
7,1,2.071428571,portal.uea.ac.uk/vco/intranet/blog/-/asset_publisher/MczyAK1PrPOt/content/celebrating-30-years-of-erasmus
,,,
7,2,2.454545455,portal.uea.ac.uk/en/vco/intranet/blog/-/asset_publisher/MczyAK1PrPOt/content/celebrating-30-years-of-erasmus
,,,
7,3,3.3125,portal.uea.ac.uk/en/staff-mobility/erasmus-staff-mobility-funding
,,,
7,4,3.529411765,portal.uea.ac.uk/staff-mobility/erasmus-staff-mobility-funding
,,,
7,5,3.705882353,portal.uea.ac.uk/staff-mobility/staff-mobility-application
,,,
7,6,3.8125,portal.uea.ac.uk/en/staff-mobility/staff-mobility-application
,,,
7,7,5.333333333,portal.uea.ac.uk/staff-mobility
,,,
7,8,5.5,
,,,
7,9,6.3,portal.uea.ac.uk/arm/campus-news/internal-communications/eu-referendum-faqs
,,,
7,10,6.444444444,portal.uea.ac.uk/accommodation/visiting-students/january-entry
,,,
7,11,6.5,portal.uea.ac.uk/staff-mobility/training-staff-mobility
,,,
7,12,6.571428571,portal.uea.ac.uk/en/staff-mobility/training-staff-mobility
,,,
7,13,7.666666667,portal.uea.ac.uk/en_US/staff-mobility
,,,
7,14,7.833333333,portal.uea.ac.uk/en/staff-mobility/teaching-staff-mobility
,,,
7,15,7.875,portal.uea.ac.uk/en/accommodation/visiting-students/january-entry
,,,
7,16,8,portal.uea.ac.uk/staff-mobility/teaching-staff-mobility
,,,
7,17,8.222222222,portal.uea.ac.uk/accommodation/visiting-students/september-entry
,,,
7,18,8.857142857,portal.uea.ac.uk/en/staff-mobility/agreed-teaching-staff-links
,,,
7,19,9,portal.uea.ac.uk/staff-mobility/agreed-teaching-staff-links
,,,
7,20,9.5,portal.uea.ac.uk/en/accommodation/visiting-students/september-entry
,,,
8,1,3,portal.uea.ac.uk/estates/events-and-activities/parking
,,,
8,2,3.722222222,portal.uea.ac.uk/web/hub/estates/travel-and-transport/by-car/parking-for-staff
,,,
8,3,4.2,portal.uea.ac.uk/estates/help-centre/faqs-questions
,,,
8,4,4.266666667,portal.uea.ac.uk/web/hub/estates/travel-and-transport/by-car/parking-for-visitors
,,,
8,5,4.294117647,portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-visitors
,,,
8,6,4.368421053,portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-staff
,,,
8,7,4.842105263,portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-students
,,,
8,8,5,portal.uea.ac.uk/estates/travel-and-transport/traffic-enforcement
,,,
8,9,5.4,portal.uea.ac.uk/en/estates/travel-and-transport/by-car/parking-for-students
,,,
8,10,5.411764706,portal.uea.ac.uk/en/estates/travel-and-transport/by-car/parking-for-staff
,,,
8,11,5.5,portal.uea.ac.uk/web/hub/estates/help-centre/faqs-questions
,,,
8,12,5.538461538,portal.uea.ac.uk/en/estates/travel-and-transport/by-car/parking-for-visitors
,,,
8,13,5.833333333,portal.uea.ac.uk/estates/travel-and-transport/by-car/about-us-parking-for-visitors
,,,
8,14,6.25,portal.uea.ac.uk/estates/travel-and-transport/by-car/accessible-parking
,,,
8,15,6.421052632,portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-contractors
,,,
8,16,6.5,portal.uea.ac.uk/estates/travel-and-transport/by-car
,,,
8,17,7.5,portal.uea.ac.uk/en/estates/travel-and-transport/by-car/parking-for-contractors
,,,
8,18,7.545454545,portal.uea.ac.uk/web/hub/estates/travel-and-transport/by-car/parking-invited-guests
,,,
8,19,7.75,portal.uea.ac.uk/en/estates/travel-and-transport/by-car/about-us-parking-for-visitors
,,,
8,20,8,portal.uea.ac.uk/learning-and-teaching/students/the-basics/useful-links
,,,
8,21,9,portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-invited-guests
,,,
9,1,2.3,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/shared-dimensions/date-dim_date-
,,,
9,2,2.428571429,portal.uea.ac.uk/uss/intranet/safety-subjects/fire/peep/documents/queens
,,,
9,3,2.666666667,portal.uea.ac.uk/committee-office/uea-committees-and-boards/senate
,,,
9,4,2.909090909,portal.uea.ac.uk/estates/improving-your-campus/buildings-and-projects
,,,
9,5,3.142857143,portal.uea.ac.uk/en/uss/intranet/safety-subjects/fire/peep/documents/queens
,,,
9,6,3.181818182,portal.uea.ac.uk/estates/improving-your-campus/future-works
,,,
9,7,3.666666667,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/senate
,,,
9,8,4,portal.uea.ac.uk/en/estates/improving-your-campus/buildings-and-projects
,,,
9,9,4.428571429,portal.uea.ac.uk/uss/intranet/safety-subjects/fire/peep/documents/efry
,,,
9,10,4.857142857,portal.uea.ac.uk/en/estates/improving-your-campus/future-works
,,,
9,11,5.25,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes/cube_library_item
,,,
9,12,5.5,portal.uea.ac.uk//csed/learning-and-teaching1/uea-writing-cafe
,,,
9,13,5.666666667,portal.uea.ac.uk/csed/learning-and-teaching1/uea-writing-cafe
,,,
